192.168.0.58,50245,216.58.213.99,443,6,5,729,3,1562,40,145,557,229,40,520,1470,822,1085,14123,27012,12266,1720,14760,27800,18441,56495,56495,56495,56495,0,0,0,0,0,5,729,3,1562,1,0,0,0,212,132,0
192.168.0.58,50240,216.58.213.99,443,6,6,769,5,2990,40,128,557,210,40,598,1470,759,1040,29752,84262,31770,184,31972,102370,47436,148764,148764,148764,148764,0,0,0,0,0,6,769,5,2990,1,1,0,0,252,212,0
192.168.0.58,50239,216.58.213.99,443,6,6,769,5,2990,40,128,557,210,40,598,1470,759,1143,48349,171384,69544,156,55064,189761,90303,241749,241749,241749,241749,0,0,0,0,0,6,769,5,2990,1,1,0,0,252,212,0
192.168.0.58,50243,216.58.213.99,443,6,6,769,5,2990,40,128,557,210,40,598,1470,759,1800,14193,28266,11710,128,12951,21876,10719,70969,70969,70969,70969,0,0,0,0,0,6,769,5,2990,1,1,0,0,252,212,0
192.168.0.58,50261,216.58.206.78,443,6,6,769,5,3009,40,128,557,210,40,601,1470,764,1100,36639,112359,43764,128,40957,130297,60288,183197,183197,183197,183197,0,0,0,0,0,6,769,5,3009,1,1,0,0,252,212,0
192.168.0.58,50263,216.58.206.130,443,6,6,781,4,3032,40,130,557,209,40,758,1470,822,134,9999,21915,10533,133,9819,22588,11540,49996,49996,49996,49996,0,0,0,0,0,6,781,4,3032,1,0,0,0,264,172,32
192.168.0.58,50267,40.77.229.141,443,6,17,14162,27,12726,40,833,12785,3081,40,471,1500,638,34,6610,20700,8240,1,3272,19347,6697,105764,105764,105764,105764,0,0,0,0,0,17,14162,27,12726,6,13,0,0,692,1092,0
192.168.0.58,50269,216.58.212.99,443,6,10,1204,9,4455,40,120,557,164,40,495,1470,599,19,9417,28253,10842,18634,8254,22151,9705,84759,84759,84759,84759,0,0,0,0,0,10,1204,9,4455,4,4,0,0,412,372,0
192.168.0.58,50273,191.232.139.2,443,6,14,6178,15,6023,40,441,4986,1310,40,401,1500,578,32,7667,19142,8338,12418,5890,18621,7782,99683,99683,99683,99683,0,0,0,0,0,14,6178,15,6023,6,9,0,0,572,612,0
192.168.0.58,50275,188.121.36.239,80,6,6,696,6,2519,40,116,484,180,40,419,1500,619,31,11855,34462,16463,199,12949,31868,16415,89179,89179,89179,89179,0,0,0,0,0,6,696,6,2519,1,1,0,0,252,252,0
192.168.0.58,50276,52.114.88.28,443,6,10,4390,8,4529,40,439,2743,863,40,566,1500,647,96,21291,66466,21029,157,24597,85180,29762,191620,191620,191620,191620,0,0,0,0,0,10,4390,8,4529,4,3,0,0,412,332,0
192.168.0.58,50279,104.103.158.244,443,6,9,1037,10,6745,40,115,361,120,40,674,1500,666,324,13827,22276,8516,316,10292,22611,9193,110621,110621,110621,110621,0,0,0,0,0,9,1037,10,6745,3,5,0,0,372,412,0
192.168.0.58,50282,195.95.193.223,443,6,10,1280,9,6567,40,128,557,164,40,729,1500,676,16,9830,28308,9763,271,8918,30356,10539,88478,88478,88478,88478,0,0,0,0,0,10,1280,9,6567,4,4,0,0,412,372,0
192.168.0.58,50288,195.95.193.223,443,6,10,1280,9,6567,40,128,557,164,40,729,1500,676,18,13002,40903,13301,341,12192,42864,14390,117026,117026,117026,117026,0,0,0,0,0,10,1280,9,6567,4,4,0,0,412,372,0
192.168.0.58,50286,195.95.193.223,443,6,10,1280,9,6567,40,128,557,164,40,729,1500,676,22,13714,37780,12262,397,12900,42337,15078,123430,123430,123430,123430,0,0,0,0,0,10,1280,9,6567,4,4,0,0,412,372,0
192.168.0.58,50291,195.95.193.223,443,6,11,1320,10,6638,40,120,557,158,40,663,1500,671,17,12752,44298,14089,199,11802,51993,17027,127524,127524,127524,127524,0,0,0,0,0,11,1320,10,6638,4,5,0,0,452,412,0
192.168.0.58,50280,104.103.206.167,443,6,8,1214,9,5200,40,151,579,190,40,577,1500,617,314,25300,65478,22198,251,19162,60333,19684,177104,177104,177104,177104,0,0,0,0,0,8,1214,9,5200,3,4,0,0,332,372,0
192.168.0.58,50287,195.95.193.223,443,6,10,1280,9,6567,40,128,557,164,40,729,1500,676,15,14883,45032,15893,277,14137,54800,19896,133950,133950,133950,133950,0,0,0,0,0,10,1280,9,6567,4,4,0,0,412,372,0
192.168.0.58,50293,195.95.193.223,443,6,10,1280,9,6567,40,128,557,164,40,729,1500,676,17,13524,63743,20457,373,12407,59833,20032,121722,121722,121722,121722,0,0,0,0,0,10,1280,9,6567,4,4,0,0,412,372,0
192.168.0.58,50285,195.95.193.223,443,6,13,1412,10,6638,40,108,557,147,40,663,1500,671,16,12553,39961,12853,9177,14725,51564,18725,150638,150638,150638,150638,0,0,0,0,0,13,1412,10,6638,4,5,0,0,544,412,0
